tframe,y,x,track_no
18,449,616,2
19,449,613,2
20,449,613,2
21,449,613,2
22,449,605,2
23,449,599,2
24,449,595,2
25,449,589,2
26,449,584,2
27,449,583,2
28,449,579,2
29,449,574,2
30,449,569,2
31,449,569,2
32,449,563,2
33,449,561,2
34,449,553,2
35,449,549,2
36,449,543,2
37,449,539,2
38,449,537,2
39,449,531,2
40,450,532,2
41,450,524,2
42,449,518,2
43,449,513,2
44,449,509,2
45,449,504,2
46,449,495,2
47,449,491,2
48,449,486,2
49,449,481,2
50,449,473,2
51,450,467,2
52,450,457,2
53,450,451,2
54,450,449,2
55,449,449,2
56,449,442,2
57,449,431,2
58,449,423,2
59,449,419,2
60,449,416,2
61,450,407,2
62,450,400,2
63,450,395,2
64,449,387,2
65,449,383,2
66,449,378,2
67,449,370,2
68,450,365,2
69,449,364,2
70,450,365,2
71,449,357,2
72,450,348,2
73,450,340,2
74,450,331,2
75,450,323,2
76,450,316,2
77,450,314,2
78,450,303,2
79,450,297,2
80,450,287,2
81,450,281,2
82,450,271,2
83,450,258,2
84,450,243,2
85,451,238,2
86,451,234,2
87,450,224,2
88,450,211,2
89,450,201,2
90,450,196,2
91,450,189,2
92,450,183,2
93,450,171,2
94,450,169,2
95,450,150,2
96,450,144,2
97,450,136,2
98,450,132,2
99,450,127,2
100,450,116,2
101,450,107,2
102,450,95,2
103,451,91,2
104,451,91,2
105,451,82,2
106,451,69,2
107,451,65,2
108,451,51,2
109,451,40,2
110,451,29,2
111,451,27,2
112,451,16,2
113,451,6,2
114,451,2,2
117,913,0,2
118,913,17,2
119,912,33,2
120,912,43,2
121,912,42,2
122,912,54,2
123,912,74,2
124,912,95,2
125,912,120,2
126,912,130,2
127,912,133,2
128,912,156,2
129,912,165,2
130,912,181,2
131,912,185,2
132,912,201,2
133,912,211,2
134,912,219,2
135,912,233,2
136,912,249,2
137,912,266,2
138,912,281,2
139,912,300,2
140,912,314,2
141,912,321,2
142,912,334,2
143,912,349,2
144,912,365,2
145,914,384,2
146,912,394,2
147,913,407,2
148,912,414,2
149,912,432,2
150,912,440,2
151,912,448,2
152,912,464,2
153,912,468,2
154,911,479,2
155,911,481,2
156,911,491,2
157,911,505,2
158,911,513,2
159,911,521,2
160,911,525,2
161,911,535,2
162,912,551,2
163,912,557,2
164,912,565,2
165,912,577,2
166,912,585,2
167,912,591,2
168,912,599,2
169,911,611,2
170,911,619,2
171,911,627,2
172,911,631,2
173,911,641,2
174,911,652,2
175,911,658,2
176,911,561,2
177,911,569,2
178,911,577,2
179,911,583,2
180,911,588,2
181,911,594,2
182,911,592,2
183,911,594,2
184,911,594,2
185,911,597,2
186,911,605,2
188,911,619,2
189,911,627,2
190,911,634,2
191,911,640,2
192,912,646,2
193,912,653,2
194,912,661,2
195,911,671,2
196,911,679,2
197,911,689,2
198,911,697,2
199,911,701,2
200,911,709,2
202,911,737,2
203,911,747,2
1,558,1368,3
2,558,1362,3
3,558,1353,3
4,558,1344,3
5,558,1337,3
6,558,1332,3
7,558,1327,3
8,558,1321,3
9,558,1317,3
10,558,1312,3
11,557,1311,3
12,558,1308,3
13,558,1297,3
14,558,1293,3
15,558,1288,3
16,558,1282,3
17,558,1278,3
18,558,1275,3
19,558,1271,3
20,558,1271,3
21,558,1271,3
22,558,1269,3
23,558,1267,3
24,558,1265,3
25,558,1260,3
26,558,1253,3
27,558,1255,3
28,558,1247,3
29,558,1245,3
30,558,1243,3
31,558,1236,3
32,558,1231,3
33,558,1231,3
34,558,1227,3
35,558,1224,3
36,558,1222,3
37,558,1220,3
38,558,1220,3
39,558,1223,3
40,558,1218,3
41,558,1218,3
42,558,1217,3
43,557,1212,3
44,557,1212,3
45,558,1208,3
46,558,1205,3
47,558,1204,3
48,558,1196,3
49,558,1198,3
50,558,1199,3
51,558,1191,3
52,558,1186,3
53,558,1181,3
54,558,1176,3
55,558,1173,3
56,558,1172,3
57,558,1170,3
58,558,1163,3
59,558,1160,3
60,560,1162,3
61,560,1157,3
62,559,1153,3
63,558,1155,3
64,558,1146,3
65,558,1142,3
66,558,1143,3
67,558,1135,3
68,558,1133,3
69,558,1131,3
70,558,1124,3
71,558,1115,3
72,558,1105,3
73,558,1096,3
74,558,1090,3
75,558,1079,3
76,558,1073,3
77,558,1072,3
78,558,1071,3
79,558,1069,3
80,558,1062,3
81,558,1057,3
82,558,1053,3
83,558,1044,3
84,558,1036,3
85,558,1032,3
86,558,1026,3
87,558,1017,3
88,558,1006,3
89,558,995,3
90,558,984,3
91,558,974,3
92,558,965,3
93,558,957,3
94,558,949,3
95,558,936,3
96,558,927,3
97,558,923,3
98,558,912,3
99,558,904,3
100,558,895,3
101,558,890,3
102,558,882,3
103,558,878,3
104,558,874,3
105,558,869,3
106,558,861,3
107,558,854,3
108,558,844,3
109,558,841,3
110,558,833,3
111,558,830,3
112,558,822,3
113,558,816,3
114,558,811,3
115,558,802,3
116,558,796,3
117,558,788,3
118,558,779,3
119,558,773,3
120,558,772,3
121,558,772,3
122,558,771,3
123,558,772,3
124,558,771,3
125,558,772,3
126,558,773,3
127,558,771,3
128,558,771,3
131,87,1375,3
132,87,1371,3
133,87,1365,3
134,87,1352,3
135,87,1345,3
136,87,1336,3
137,87,1323,3
138,87,1318,3
139,87,1312,3
140,88,1305,3
141,88,1299,3
142,88,1294,3
143,88,1274,3
144,88,1266,3
145,88,1253,3
146,88,1244,3
147,88,1234,3
148,88,1227,3
149,88,1214,3
150,88,1205,3
151,88,1204,3
152,88,1198,3
153,88,1186,3
154,88,1173,3
155,88,1168,3
156,88,1160,3
157,88,1155,3
158,88,1156,3
159,88,1153,3
160,88,1145,3
161,88,1140,3
162,88,1127,3
163,88,1117,3
164,88,1101,3
165,88,1098,3
167,88,1076,3
168,88,1072,3
169,88,1064,3
170,88,1053,3
171,88,1047,3
172,88,1041,3
173,88,1035,3
174,88,1032,3
175,88,1019,3
176,88,1002,3
177,88,993,3
178,88,988,3
179,88,974,3
180,88,965,3
181,88,957,3
182,88,947,3
183,88,939,3
184,88,928,3
185,88,922,3
186,88,916,3
187,88,907,3
188,88,904,3
189,88,895,3
190,88,886,3
191,88,879,3
192,88,872,3
193,87,868,3
194,87,862,3
195,87,857,3
196,87,853,3
197,87,840,3
198,87,833,3
199,86,825,3
200,88,818,3
201,88,813,3
202,88,805,3
203,88,797,3
205,89,775,3
206,89,770,3
207,89,764,3
208,89,759,3
209,89,753,3
210,88,746,3
211,88,741,3
212,88,729,3
213,88,725,3
214,88,724,3
215,88,716,3
216,88,710,3
217,88,704,3
218,88,697,3
219,88,693,3
221,87,669,3
222,87,664,3
223,87,655,3
224,87,651,3
225,87,645,3
226,87,633,3
227,87,623,3
1,1053,361,4
2,1052,359,4
3,1052,358,4
4,1053,364,4
5,1053,364,4
6,1053,364,4
7,1052,361,4
8,1054,364,4
9,1053,363,4
10,1053,354,4
11,1053,349,4
12,1052,343,4
13,1053,341,4
14,1053,341,4
15,1053,337,4
16,1052,337,4
17,1053,341,4
18,1053,337,4
19,1053,331,4
20,1053,327,4
21,1053,322,4
22,1052,316,4
23,1052,309,4
24,1052,300,4
25,1052,294,4
26,1052,287,4
27,1053,273,4
28,1052,269,4
29,1053,260,4
30,1052,249,4
31,1053,244,4
32,1053,237,4
33,1053,238,4
34,1053,234,4
35,1053,224,4
36,1053,223,4
37,1053,215,4
38,1053,213,4
39,1053,210,4
40,1053,201,4
41,1053,197,4
42,1053,193,4
43,1053,174,4
44,1053,163,4
45,1053,155,4
46,1053,146,4
47,1053,141,4
48,1053,135,4
49,1053,127,4
50,1053,121,4
51,1053,107,4
52,1053,88,4
53,1053,78,4
54,1053,70,4
55,1053,59,4
56,1053,47,4
57,1052,36,4
58,1053,21,4
59,1053,9,4
60,1053,29,4
61,1053,51,4
62,1053,61,4
63,1053,53,4
66,88,0,4
67,88,8,4
68,88,19,4
69,88,27,4
71,108,48,4
72,108,58,4
73,108,70,4
74,108,90,4
75,108,115,4
76,108,115,4
77,108,115,4
78,108,110,4
79,108,113,4
80,108,111,4
81,108,110,4
82,108,102,4
83,108,95,4
84,108,83,4
85,108,78,4
86,108,62,4
87,109,41,4
88,109,30,4
89,109,19,4
90,109,19,4
91,109,16,4
92,109,13,4
93,109,0,4
94,109,0,4
97,653,4,4
98,655,22,4
99,655,33,4
100,655,47,4
101,654,70,4
102,655,80,4
103,654,99,4
104,655,112,4
105,655,127,4
106,655,141,4
107,653,143,4
108,653,153,4
109,653,163,4
110,654,172,4
111,654,194,4
112,654,210,4
113,654,226,4
114,654,240,4
115,654,254,4
116,653,264,4
117,653,275,4
118,654,292,4
119,654,305,4
120,654,314,4
121,654,323,4
122,653,337,4
123,653,352,4
124,653,363,4
125,653,375,4
126,652,386,4
127,653,400,4
128,653,407,4
129,653,414,4
130,653,414,4
131,653,433,4
132,653,440,4
133,653,440,4
134,653,440,4
135,653,441,4
136,653,442,4
137,653,447,4
138,653,454,4
139,653,462,4
140,653,467,4
141,653,473,4
142,653,485,4
143,653,484,4
144,653,496,4
145,653,509,4
146,653,520,4
147,653,522,4
148,653,527,4
149,653,528,4
150,653,535,4
151,652,541,4
152,652,543,4
153,652,548,4
154,651,552,4
155,652,561,4
156,652,564,4
157,652,573,4
158,651,582,4
159,651,584,4
160,651,587,4
161,651,597,4
162,651,609,4
163,651,613,4
164,651,621,4
165,651,629,4
166,652,630,4
167,652,625,4
168,652,627,4
169,652,633,4
170,651,633,4
171,651,635,4
172,651,637,4
173,651,643,4
174,651,653,4
175,651,655,4
176,651,664,4
177,651,671,4
178,651,673,4
179,651,680,4
180,650,682,4
181,651,684,4
182,651,687,4
183,651,693,4
184,650,699,4
185,650,701,4
186,649,714,4
187,649,716,4
188,649,720,4
189,649,724,4
190,649,730,4
191,649,734,4
192,649,733,4
193,649,737,4
194,649,740,4
1,1035,498,5
2,1035,494,5
3,1035,489,5
4,1035,493,5
5,1035,483,5
6,1035,475,5
7,1035,467,5
8,1035,461,5
9,1035,448,5
10,1036,435,5
11,1036,421,5
12,1036,408,5
13,1036,395,5
14,1036,387,5
15,1036,376,5
16,1036,373,5
17,1036,374,5
18,1036,368,5
19,1036,364,5
20,1036,356,5
21,1036,345,5
22,1036,332,5
23,1036,327,5
24,1036,324,5
25,1036,320,5
26,1036,320,5
27,1036,314,5
28,1036,314,5
29,1036,312,5
30,1036,307,5
31,1034,288,5
32,1036,285,5
33,1036,281,5
34,1036,271,5
35,1036,269,5
36,1036,265,5
37,1036,254,5
38,1036,244,5
39,1036,235,5
40,1034,229,5
41,1034,228,5
42,1036,223,5
43,1036,201,5
44,1038,198,5
45,1034,191,5
46,1036,175,5
47,1036,161,5
48,1036,148,5
49,1036,135,5
50,1036,133,5
51,1036,124,5
52,1036,121,5
53,1036,112,5
54,1036,100,5
55,1036,85,5
56,1030,76,5
57,1038,73,5
58,1036,62,5
59,1036,56,5
60,1036,49,5
61,1036,40,5
62,1036,35,5
63,1036,31,5
64,1036,27,5
65,1036,20,5
66,1036,6,5
67,1036,0,5
70,348,0,5
71,348,12,5
72,348,12,5
73,347,28,5
74,348,40,5
75,348,50,5
76,349,54,5
77,349,70,5
78,348,78,5
79,348,93,5
80,348,100,5
81,348,121,5
82,348,132,5
83,348,137,5
84,348,140,5
85,348,151,5
86,347,176,5
87,348,178,5
88,347,183,5
89,347,194,5
90,347,213,5
91,347,226,5
92,347,246,5
93,347,264,5
94,347,279,5
95,347,295,5
96,348,317,5
97,347,324,5
98,347,339,5
99,348,353,5
100,347,373,5
101,346,385,5
102,347,388,5
103,346,396,5
104,346,404,5
105,347,412,5
106,346,426,5
107,346,439,5
108,346,449,5
109,346,468,5
110,346,473,5
111,346,484,5
112,346,493,5
113,346,507,5
114,346,524,5
115,346,539,5
116,346,552,5
117,346,562,5
118,346,568,5
119,346,577,5
120,346,584,5
121,346,597,5
122,346,605,5
123,346,613,5
124,346,619,5
125,346,627,5
126,346,633,5
127,346,637,5
128,346,643,5
129,346,652,5
130,346,654,5
131,346,661,5
132,347,673,5
133,346,677,5
134,346,685,5
135,345,696,5
136,345,711,5
137,346,724,5
138,346,737,5
139,346,741,5
140,346,753,5
141,346,763,5
142,346,770,5
143,346,775,5
144,346,786,5
145,346,796,5
146,346,813,5
147,347,824,5
148,347,833,5
149,347,840,5
150,347,843,5
151,347,851,5
152,348,860,5
153,347,871,5
154,347,879,5
155,347,894,5
156,347,906,5
157,347,916,5
158,347,923,5
159,347,933,5
160,348,939,5
161,348,944,5
162,348,948,5
163,348,953,5
164,348,956,5
165,348,962,5
166,348,966,5
167,348,971,5
168,348,972,5
169,347,971,5
170,347,975,5
171,347,979,5
172,347,983,5
173,347,986,5
174,348,996,5
175,348,1005,5
176,347,1007,5
177,348,1008,5
178,348,1001,5
179,348,1003,5
180,348,1008,5
181,347,1002,5
182,347,1009,5
183,347,998,5
184,347,996,5
185,347,991,5
186,347,987,5
187,347,984,5
188,347,983,5
189,347,978,5
190,347,971,5
191,347,963,5
192,347,961,5
193,348,953,5
194,348,951,5
195,348,947,5
196,348,944,5
197,348,939,5
198,348,931,5
199,347,927,5
200,347,927,5
201,347,926,5
202,347,921,5
203,347,917,5
204,347,912,5
205,348,909,5
206,347,904,5
207,347,898,5
208,348,896,5
209,348,890,5
210,348,888,5
211,347,884,5
212,347,879,5
213,347,875,5
214,347,873,5
215,347,868,5
216,348,862,5
217,347,860,5
1,435,576,6
2,435,572,6
3,435,568,6
4,435,565,6
5,435,567,6
6,435,565,6
7,435,563,6
8,435,561,6
9,435,557,6
10,435,556,6
11,435,555,6
12,435,552,6
13,435,548,6
14,435,548,6
15,435,548,6
16,435,548,6
17,435,547,6
18,435,545,6
19,435,544,6
20,435,543,6
21,435,542,6
22,435,541,6
23,435,539,6
24,435,538,6
25,435,538,6
26,435,537,6
27,435,537,6
28,435,531,6
29,435,528,6
30,435,526,6
31,435,523,6
32,435,522,6
33,435,516,6
34,435,511,6
35,435,506,6
36,435,505,6
37,435,501,6
38,435,501,6
39,435,496,6
40,435,492,6
41,435,492,6
42,435,489,6
43,435,483,6
44,435,483,6
45,435,478,6
46,435,477,6
47,435,470,6
48,435,464,6
49,435,457,6
50,435,453,6
51,435,450,6
52,435,445,6
53,435,441,6
54,436,439,6
55,435,432,6
56,435,429,6
57,435,426,6
58,435,423,6
59,435,417,6
60,435,414,6
61,435,408,6
62,435,405,6
63,435,401,6
64,435,399,6
65,435,399,6
66,435,398,6
67,435,397,6
68,435,383,6
69,435,371,6
70,436,378,6
71,436,364,6
72,436,374,6
73,436,358,6
74,436,367,6
75,436,358,6
76,436,367,6
77,436,355,6
78,436,358,6
79,436,351,6
80,436,356,6
81,436,351,6
82,436,352,6
83,436,348,6
84,436,344,6
85,436,343,6
86,436,339,6
87,436,341,6
88,436,340,6
89,436,341,6
90,436,340,6
91,436,341,6
92,436,340,6
93,436,337,6
94,436,340,6
95,436,340,6
96,436,340,6
97,436,340,6
98,436,336,6
99,436,340,6
100,436,334,6
101,436,340,6
102,436,336,6
103,436,341,6
104,436,338,6
105,436,340,6
106,436,340,6
107,436,336,6
108,436,336,6
109,436,338,6
110,436,338,6
111,436,333,6
112,436,343,6
113,436,329,6
114,436,340,6
115,436,325,6
116,436,340,6
117,436,318,6
118,436,334,6
119,436,314,6
120,436,334,6
121,436,308,6
122,436,334,6
123,436,304,6
124,436,334,6
125,436,299,6
126,436,336,6
127,436,294,6
128,436,339,6
129,436,288,6
130,436,351,6
131,436,283,6
132,436,359,6
133,436,283,6
134,436,368,6
135,436,287,6
136,436,372,6
137,436,285,6
138,436,376,6
139,436,280,6
140,436,379,6
141,436,271,6
142,436,380,6
143,436,263,6
144,436,387,6
145,436,257,6
146,436,396,6
147,436,247,6
148,436,407,6
149,436,238,6
150,436,227,6
151,436,231,6
152,436,221,6
153,436,227,6
154,436,217,6
155,436,226,6
156,436,206,6
157,436,230,6
158,436,196,6
159,436,230,6
160,436,189,6
161,436,231,6
162,436,179,6
163,436,230,6
164,436,163,6
165,437,226,6
166,436,155,6
167,436,215,6
168,436,139,6
169,436,213,6
170,436,130,6
171,436,213,6
172,436,108,6
173,436,213,6
174,436,93,6
175,436,85,6
176,436,83,6
177,436,79,6
178,436,68,6
179,436,59,6
180,436,59,6
181,436,57,6
182,436,61,6
183,436,62,6
184,436,64,6
185,436,63,6
186,436,53,6
187,436,48,6
188,436,41,6
189,436,33,6
190,436,31,6
191,436,27,6
192,436,28,6
193,436,23,6
194,437,12,6
195,437,6,6
196,437,5,6
199,352,872,6
200,352,865,6
201,352,860,6
202,356,862,6
203,356,861,6
204,356,853,6
205,356,849,6
206,356,846,6
207,356,839,6
208,356,834,6
209,356,828,6
210,356,824,6
211,354,818,6
212,356,814,6
213,356,805,6
214,356,796,6
215,356,786,6
216,356,778,6
217,356,767,6
218,356,762,6
219,356,759,6
220,356,747,6
221,356,745,6
222,356,743,6
223,356,738,6
224,356,734,6
225,356,732,6
226,356,728,6
227,356,724,6
228,356,722,6
229,356,716,6
230,356,716,6
231,354,714,6
232,356,712,6
233,356,718,6
234,354,712,6
235,354,705,6
236,354,506,6
237,354,700,6
238,354,512,6
239,354,614,6
240,354,624,6
241,354,614,6
242,354,622,6
243,354,614,6
244,356,614,6
245,358,618,6
246,356,618,6
247,356,622,6
248,356,622,6
249,354,618,6
250,354,616,6
251,354,612,6
252,354,616,6
253,354,614,6
254,356,610,6
255,354,616,6
256,356,596,6
257,354,582,6
258,356,578,6
259,356,574,6
260,356,564,6
261,358,556,6
262,358,546,6
263,356,532,6
264,356,519,6
265,356,516,6
266,356,498,6
267,356,490,6
268,356,495,6
269,356,478,6
270,356,480,6
271,356,462,6
272,356,456,6
273,356,446,6
274,356,458,6
275,356,472,6
276,356,440,6
277,356,434,6
278,356,428,6
279,356,423,6
280,356,421,6
281,356,410,6
282,356,410,6
283,356,390,6
284,356,400,6
285,356,380,6
286,356,386,6
1,624,1088,7
2,624,1074,7
3,624,1058,7
4,624,1051,7
5,624,1043,7
6,624,1035,7
7,624,1024,7
8,624,1015,7
9,624,1003,7
10,624,997,7
11,624,993,7
12,624,984,7
13,624,975,7
14,625,969,7
15,625,961,7
16,624,956,7
17,625,947,7
18,624,939,7
19,624,933,7
20,624,928,7
21,625,924,7
22,625,918,7
23,625,914,7
24,625,908,7
25,625,907,7
26,624,903,7
27,625,899,7
28,625,895,7
29,625,885,7
30,625,879,7
31,625,875,7
32,625,869,7
33,624,857,7
34,624,847,7
35,624,839,7
37,624,810,7
39,624,822,7
41,624,824,7
42,624,824,7
43,624,825,7
44,624,819,7
45,624,816,7
46,624,806,7
47,624,804,7
48,625,796,7
49,625,793,7
50,624,787,7
51,623,781,7
52,623,776,7
53,623,771,7
54,623,767,7
55,623,765,7
56,623,754,7
57,624,744,7
58,625,734,7
59,624,727,7
60,623,719,7
61,623,715,7
62,623,708,7
63,624,703,7
64,624,702,7
65,623,697,7
66,623,686,7
67,624,674,7
68,623,668,7
69,623,663,7
70,623,658,7
71,623,653,7
72,623,645,7
73,623,639,7
74,623,631,7
76,623,617,7
77,623,611,7
78,624,605,7
79,624,597,7
80,625,589,7
81,625,580,7
82,625,569,7
83,626,565,7
84,625,557,7
85,626,549,7
86,625,542,7
87,624,537,7
88,624,531,7
90,624,514,7
91,625,500,7
92,625,496,7
93,624,492,7
94,624,488,7
95,624,478,7
96,624,473,7
97,625,466,7
98,625,460,7
99,624,454,7
100,625,448,7
101,625,440,7
102,625,434,7
103,625,428,7
104,625,417,7
105,624,410,7
106,624,400,7
107,624,391,7
108,624,383,7
109,623,372,7
110,623,366,7
111,623,350,7
112,623,344,7
113,624,339,7
114,625,326,7
115,624,317,7
116,623,304,7
117,624,294,7
118,623,285,7
119,624,280,7
120,624,265,7
121,625,253,7
122,625,241,7
123,625,222,7
124,625,212,7
125,625,203,7
126,624,194,7
127,625,186,7
128,625,165,7
129,625,155,7
130,625,141,7
131,625,131,7
132,625,121,7
133,625,108,7
134,625,97,7
135,625,81,7
136,624,72,7
137,623,61,7
138,623,53,7
139,624,35,7
140,624,29,7
141,625,21,7
142,624,7,7
143,624,2,7
146,821,1362,7
147,821,1352,7
148,821,1344,7
149,821,1338,7
150,821,1328,7
151,819,1322,7
152,818,1314,7
153,818,1310,7
154,818,1301,7
155,818,1299,7
156,818,1297,7
157,818,1296,7
158,818,1286,7
159,818,1277,7
160,818,1274,7
161,818,1271,7
162,818,1265,7
163,818,1255,7
164,818,1247,7
165,818,1242,7
166,818,1237,7
167,818,1231,7
168,818,1230,7
169,818,1224,7
171,820,1210,7
172,818,1204,7
173,818,1195,7
174,818,1187,7
175,818,1179,7
176,818,1172,7
177,818,1167,7
178,818,1165,7
179,820,1161,7
180,818,1157,7
181,818,1148,7
182,818,1148,7
183,818,1143,7
184,818,1142,7
185,818,1138,7
186,818,1127,7
187,819,1125,7
188,819,1122,7
189,819,1111,7
190,818,1110,7
191,818,1097,7
192,818,1095,7
193,818,1088,7
194,818,1082,7
195,818,1078,7
196,818,1074,7
197,818,1073,7
198,819,10,7
1,1097,479,8
2,1098,474,8
3,1098,464,8
4,1098,454,8
5,1098,439,8
6,1098,437,8
7,1098,436,8
8,1098,426,8
9,1098,418,8
10,1098,409,8
11,1098,400,8
12,1098,389,8
13,1098,374,8
14,1098,365,8
15,1098,357,8
16,1098,344,8
17,1098,337,8
18,1098,337,8
19,1098,334,8
20,1098,326,8
21,1098,314,8
22,1098,305,8
23,1098,299,8
24,1098,293,8
25,1098,285,8
26,1098,275,8
27,1098,273,8
28,1098,261,8
29,1098,254,8
30,1098,244,8
31,1098,238,8
32,1098,233,8
33,1098,225,8
34,1098,214,8
35,1098,204,8
36,1098,191,8
37,1098,173,8
38,1098,159,8
39,1098,149,8
40,1098,135,8
41,1098,127,8
42,1098,109,8
43,1098,93,8
44,1098,87,8
45,1098,75,8
46,1098,63,8
47,1098,55,8
48,1098,49,8
49,1099,32,8
50,1098,24,8
51,1098,13,8
52,1098,0,8
55,484,1363,8
56,484,1355,8
57,483,1347,8
58,483,1335,8
59,483,1324,8
60,483,1316,8
61,483,1312,8
62,483,1301,8
63,483,1303,8
64,482,1298,8
65,482,1289,8
66,482,1284,8
67,482,1279,8
68,483,1277,8
69,483,1266,8
70,483,1259,8
71,484,1253,8
72,483,1247,8
73,483,1244,8
74,483,1239,8
75,483,1232,8
76,482,1225,8
77,483,1223,8
78,483,1219,8
79,483,1211,8
80,483,1204,8
81,483,1201,8
82,483,1191,8
83,482,1197,8
84,482,1184,8
85,482,1179,8
86,483,1172,8
87,483,1166,8
88,483,1162,8
89,483,1159,8
90,483,1153,8
91,483,1148,8
92,483,1141,8
93,483,1135,8
94,483,1130,8
95,483,1127,8
96,483,1111,8
97,483,1103,8
98,483,1103,8
99,484,1097,8
100,483,1096,8
101,483,1088,8
102,483,1081,8
103,484,1079,8
104,484,1074,8
105,484,1069,8
106,484,1065,8
107,484,1060,8
108,483,1053,8
109,483,1047,8
110,483,1045,8
111,483,1041,8
112,483,1040,8
113,483,1035,8
114,483,1033,8
115,483,1028,8
116,484,1021,8
117,485,1020,8
118,484,1015,8
119,484,1006,8
120,483,1004,8
121,483,1000,8
122,484,996,8
123,484,991,8
124,484,986,8
125,484,981,8
126,484,977,8
127,483,972,8
128,483,969,8
129,484,963,8
130,484,957,8
131,485,954,8
132,484,947,8
133,484,944,8
134,484,944,8
135,484,943,8
136,484,939,8
137,484,933,8
138,484,929,8
139,485,925,8
140,484,921,8
141,484,919,8
142,484,916,8
143,485,912,8
144,484,904,8
145,485,903,8
146,485,899,8
147,485,898,8
148,486,895,8
149,486,896,8
150,486,892,8
151,486,888,8
152,485,886,8
153,485,883,8
154,486,879,8
155,486,874,8
156,486,870,8
157,486,864,8
158,486,860,8
159,486,858,8
160,486,853,8
161,487,848,8
162,487,848,8
163,488,845,8
164,488,841,8
165,487,838,8
166,487,835,8
167,487,833,8
